 64:    64   S0(e=123, idx=111) | S1(e=118, idx= 55) | S2(e=108, idx= 27) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 65:    65   S0(e=123, idx=111) | S1(e=118, idx= 55) | S2(e=108, idx= 27) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 66:    66   S0(e=123, idx=111) | S1(e=118, idx= 55) | S2(e=108, idx= 27) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 67:    67   S0(e=123, idx=111) | S1(e=118, idx= 55) | S2(e=108, idx= 27) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 68:    68   S0(e= 59, idx=110) | S1(e=118, idx= 55) | S2(e=108, idx= 27) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 69:    69   S0(e= 59, idx=110) | S1(e=118, idx= 55) | S2(e=108, idx= 27) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 70:    70   S0(e= 59, idx=110) | S1(e=118, idx= 55) | S2(e=108, idx= 27) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 71:    71   S0(e= 59, idx=110) | S1(e=118, idx= 55) | S2(e=108, idx= 27) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 72:    72   S0(e= 91, idx=109) | S1(e= 54, idx= 54) | S2(e=108, idx= 27) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 73:    73   S0(e= 91, idx=109) | S1(e= 54, idx= 54) | S2(e=108, idx= 27) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 74:    74   S0(e= 91, idx=109) | S1(e= 54, idx= 54) | S2(e=108, idx= 27) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 75:    75   S0(e= 91, idx=109) | S1(e= 54, idx= 54) | S2(e=108, idx= 27) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 76:    76   S0(e= 27, idx=108) | S1(e= 54, idx= 54) | S2(e=108, idx= 27) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 77:    77   S0(e= 27, idx=108) | S1(e= 54, idx= 54) | S2(e=108, idx= 27) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 78:    78   S0(e= 27, idx=108) | S1(e= 54, idx= 54) | S2(e=108, idx= 27) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
